policy_id,customer_id,policy_type,premium_amount,start_date,end_date,agent_id
1,13331,Property,7788.71730084228,2021-04-06,2022-04-06,34
2,11913,Vehicle,15232.4939743408,2023-10-21,2024-10-20,84
3,926,Vehicle,25273.05514166513,2022-12-28,2023-12-28,486
4,4525,Property,9371.625159711735,2023-11-03,2024-11-02,494
5,15031,Property,11269.807510360926,2021-02-21,2022-02-21,62
6,23691,Vehicle,22237.21198928893,2020-07-31,2021-07-31,122
7,23773,Vehicle,21372.99765352936,2021-10-12,2022-10-12,473
8,21923,Health,17102.02801118196,2023-05-19,2024-05-18,225
9,3985,Health,21335.625105947376,2020-01-25,2021-01-24,424
10,15845,Property,7333.469499717125,2025-07-20,2026-07-20,64
11,6970,Health,20700.24554562849,2023-05-11,2024-05-10,141
12,15388,Health,17764.455907872372,2023-10-14,2024-10-13,66
13,16482,Vehicle,24491.92044929896,2020-04-09,2021-04-09,106
14,15234,Vehicle,19261.603442638698,2020-06-03,2021-06-03,303
15,1706,Property,9047.905238087951,2024-05-31,2025-05-31,429
16,3706,Vehicle,24828.939078442545,2020-04-16,2021-04-16,2
17,9047,Vehicle,15216.35172167398,2025-12-25,2026-12-25,110
18,6118,Health,14600.658810603076,2022-08-28,2023-08-28,347
19,7116,Vehicle,22785.173993549357,2025-08-24,2026-08-24,237
20,14085,Vehicle,20586.993721077484,2022-03-05,2023-03-05,442
21,5666,Vehicle,19395.716871206507,2025-08-22,2026-08-22,340
22,22698,Vehicle,18457.074776812588,2020-03-07,2021-03-07,13
23,3883,Property,5634.327943057599,2023-10-30,2024-10-29,162
24,10529,Vehicle,21526.0184012095,2021-10-28,2022-10-28,157
25,5601,Vehicle,23839.456610107874,2022-12-18,2023-12-18,472
26,21833,Vehicle,21727.4031078152,2024-02-13,2025-02-12,91
27,6750,Vehicle,23734.70847351284,2020-06-22,2021-06-22,490
28,11285,Health,13730.967528007974,2022-03-20,2023-03-20,13
29,17299,Vehicle,16535.004078044232,2020-12-10,2021-12-10,437
30,23520,Vehicle,14532.001084443196,2025-12-12,2026-12-12,396
31,12527,Vehicle,24066.65852591509,2020-05-04,2021-05-04,210
32,3290,Property,6975.164060120445,2021-03-02,2022-03-02,104
33,7491,Vehicle,17772.815150017275,2024-09-01,2025-09-01,339
34,10507,Health,17899.828494513993,2022-01-15,2023-01-15,211
35,17817,Vehicle,13396.927374907436,2025-12-23,2026-12-23,439
36,4799,Health,14608.519421947049,2025-09-20,2026-09-20,208
37,11978,Vehicle,15367.954986265537,2023-04-15,2024-04-14,206
38,6011,Vehicle,21907.16538400537,2021-10-23,2022-10-23,237
39,9532,Vehicle,21908.482005318983,2023-05-10,2024-05-09,202
40,18945,Property,8815.47532898274,2020-05-02,2021-05-02,152
41,17275,Property,9135.15923514266,2020-08-18,2021-08-18,362
42,14767,Vehicle,17053.133390936688,2025-01-07,2026-01-07,236
43,8242,Vehicle,16728.54842927936,2024-08-31,2025-08-31,454
44,14976,Health,11282.248196420556,2025-07-06,2026-07-06,99
45,12359,Health,14996.857758469589,2023-04-01,2024-03-31,414
46,20113,Health,13861.58488030072,2021-09-10,2022-09-10,214
47,11489,Property,8469.703901438823,2025-05-14,2026-05-14,231
48,5103,Vehicle,19057.7057109446,2023-01-13,2024-01-13,465
49,24479,Vehicle,18695.26594540599,2021-10-14,2022-10-14,251
