customer_id,age,gender,city,income,registration_date,risk_category
1,60,Female,Lucknow,803370.0049241756,2021-03-05,Medium
2,50,Male,Hyderabad,,2022-12-29,Low
3,36,Female,Lucknow,,2021-07-13,Low
4,64,Male,Delhi,435462.28926352586,2022-02-09,Medium
5,29,Female,Ahmedabad,744088.9395863961,2024-09-13,High
6,42,Male,Chennai,1092741.9417137525,2025-02-19,Low
7,60,Male,Hyderabad,328936.3317598643,2021-08-07,Medium
8,40,Female,Jaipur,776490.918237506,2024-06-15,Low
9,44,Female,Delhi,943865.5086397388,2025-07-10,Low
10,32,Female,Bengaluru,1463060.5836319458,2021-06-17,Low
11,32,Male,Ahmedabad,1102064.4092319014,2025-12-23,Low
12,45,Male,Hyderabad,833154.0958411214,2022-05-07,Low
13,57,Female,Jaipur,930189.8065867367,2025-11-20,Medium
14,61,Male,Lucknow,325576.1599287685,2021-08-25,Medium
15,45,Male,Lucknow,537569.4535235094,2020-10-19,Low
16,24,Female,Lucknow,962738.9177776576,2023-09-16,High
17,43,Male,Lucknow,840291.8491640795,2025-05-05,Low
18,23,Male,Jaipur,872185.2966493482,2022-04-18,High
19,45,Male,Lucknow,808528.6634193403,2023-04-14,Low
20,51,Female,Jaipur,798727.2756046214,2025-02-11,Low
21,59,Male,Mumbai,825732.6621196993,2022-06-09,Medium
22,23,Female,Kolkata,535991.2039337987,2022-02-18,High
23,42,Male,Lucknow,742768.2569137668,2022-05-19,Low
24,54,Male,Kolkata,488973.8421427896,2022-04-05,Low
25,33,Male,Ahmedabad,645100.8858154397,2025-07-23,Low
26,43,Male,Pune,1098976.2523011332,2023-10-22,Low
27,46,Male,Pune,754811.9223756092,2020-06-06,Low
28,48,Female,Delhi,948959.868820202,2020-07-21,Low
29,63,Male,Hyderabad,828823.6385281375,2025-04-01,Medium
30,49,Male,Mumbai,703777.0832766814,2022-04-18,Low
31,37,Male,Pune,547857.8233478942,2024-05-21,Low
32,36,Male,Hyderabad,699986.0868976605,2024-02-23,Low
